#Core, Mnt_Brown
#Top bag, 224
#Bottom bag, 232
#Loading differential counts used, 14.2
#Counts per mm, 25.0
#Intervals in secs used for core loading:
#1696, 1734
#3330, 3377
#4938, 4993
#6550, 6607
#8015, 8068
#9587, 9640
#11244, 11292
#12563, 12613
#13150, 13207
#
Elapsed_time	Epoch_time	Total_length
816	1571711272.09	477.32
817	1571711273.09	477.92
818	1571711274.09	478.52
819	1571711275.09	479.12
820	1571711276.09	479.72
821	1571711277.09	480.28
822	1571711278.09	480.88
823	1571711279.09	481.48
824	1571711280.09	482.08
825	1571711281.09	482.68
826	1571711282.09	483.28
827	1571711283.09	483.84
828	1571711284.09	484.44
829	1571711285.09	485.04
830	1571711286.09	485.64
831	1571711287.09	486.20
832	1571711288.09	486.80
833	1571711289.09	487.40
834	1571711290.09	488.00
835	1571711291.09	488.56
836	1571711292.09	489.16
837	1571711293.09	489.76
838	1571711294.09	490.32
839	1571711295.09	490.92
840	1571711296.09	491.52
841	1571711297.09	492.08
842	1571711298.09	492.68
843	1571711299.09	493.28
844	1571711300.09	493.88
845	1571711301.09	494.44
846	1571711302.09	495.04
847	1571711303.09	495.64
848	1571711304.09	496.24
849	1571711305.09	496.80
850	1571711306.09	497.40
851	1571711307.09	498.00
852	1571711308.09	498.56
853	1571711309.09	499.16
854	1571711310.09	499.72
855	1571711311.09	500.32
856	1571711312.09	500.92
857	1571711313.09	501.48
858	1571711314.09	502.08
859	1571711315.09	502.64
860	1571711316.09	503.24
861	1571711317.09	503.84
862	1571711318.09	504.40
863	1571711319.09	505.00
864	1571711320.09	505.60
865	1571711321.09	506.16
866	1571711322.09	506.76
867	1571711323.09	507.36
868	1571711324.09	507.92
869	1571711325.09	508.52
870	1571711326.09	509.08
871	1571711327.09	509.68
872	1571711328.09	510.28
873	1571711329.09	510.84
874	1571711330.09	511.44
875	1571711331.09	512.04
876	1571711332.09	512.60
877	1571711333.09	513.20
878	1571711334.09	513.80
879	1571711335.09	514.36
880	1571711336.09	514.92
881	1571711337.09	515.48
882	1571711338.09	516.08
883	1571711339.09	516.68
884	1571711340.09	517.28
885	1571711341.09	517.88
886	1571711342.09	518.48
887	1571711343.09	519.08
888	1571711344.09	519.68
889	1571711345.09	520.28
890	1571711346.09	520.88
891	1571711347.09	521.48
892	1571711348.09	522.08
893	1571711349.09	522.68
894	1571711350.09	523.28
895	1571711351.09	523.88
896	1571711352.09	524.48
897	1571711353.09	525.08
898	1571711354.09	525.68
899	1571711355.09	526.24
900	1571711356.09	526.84
901	1571711357.09	527.44
902	1571711358.09	528.04
903	1571711359.09	528.64
904	1571711360.09	529.24
905	1571711361.09	529.84
906	1571711362.09	530.40
907	1571711363.09	531.00
908	1571711364.09	531.60
909	1571711365.09	532.20
910	1571711366.09	532.76
911	1571711367.09	533.36
912	1571711368.09	533.96
913	1571711369.09	534.56
914	1571711370.09	535.12
915	1571711371.09	535.72
916	1571711372.09	536.32
917	1571711373.09	536.88
918	1571711374.09	537.48
919	1571711375.09	538.04
920	1571711376.09	538.64
921	1571711377.09	539.24
922	1571711378.09	539.84
923	1571711379.09	540.40
924	1571711380.09	541.00
925	1571711381.09	541.60
926	1571711382.09	542.16
927	1571711383.09	542.76
928	1571711384.09	543.36
929	1571711385.09	543.96
930	1571711386.09	544.56
931	1571711387.09	545.12
932	1571711388.09	545.72
933	1571711389.09	546.32
934	1571711390.09	546.92
935	1571711391.09	547.52
936	1571711392.09	548.08
937	1571711393.09	548.68
938	1571711394.09	549.28
939	1571711395.09	549.88
940	1571711396.09	550.48
941	1571711397.09	551.08
942	1571711398.09	551.64
943	1571711399.09	552.24
944	1571711400.09	552.84
945	1571711401.09	553.44
946	1571711402.09	554.04
947	1571711403.09	554.64
948	1571711404.09	555.24
949	1571711405.09	555.84
950	1571711406.09	556.44
951	1571711407.09	557.04
952	1571711408.09	557.60
953	1571711409.09	558.20
954	1571711410.09	558.80
955	1571711411.09	559.40
956	1571711412.09	560.00
957	1571711413.09	560.60
958	1571711414.09	561.20
959	1571711415.09	561.80
960	1571711416.09	562.40
961	1571711417.09	563.00
962	1571711418.09	563.60
963	1571711419.09	564.20
964	1571711420.09	564.80
965	1571711421.09	565.40
966	1571711422.09	565.96
967	1571711423.09	566.56
968	1571711424.09	567.16
969	1571711425.09	567.76
970	1571711426.09	568.36
971	1571711427.09	568.96
972	1571711428.09	569.52
973	1571711429.09	570.12
974	1571711430.09	570.72
975	1571711431.09	571.32
976	1571711432.09	571.88
977	1571711433.09	572.48
978	1571711434.09	573.08
979	1571711435.09	573.68
980	1571711436.09	574.28
981	1571711437.09	574.88
982	1571711438.09	575.44
983	1571711439.09	576.04
984	1571711440.09	576.64
985	1571711441.09	577.24
986	1571711442.09	577.80
987	1571711443.09	578.40
988	1571711444.09	579.00
989	1571711445.09	579.60
990	1571711446.09	580.20
991	1571711447.09	580.80
992	1571711448.09	581.36
993	1571711449.09	581.96
994	1571711450.09	582.60
995	1571711451.09	583.20
996	1571711452.09	583.76
997	1571711453.09	584.36
998	1571711454.09	584.96
999	1571711455.09	585.56
1000	1571711456.09	586.16
1001	1571711457.09	586.76
1002	1571711458.09	587.36
1003	1571711459.09	587.96
1004	1571711460.09	588.56
1005	1571711461.09	589.16
1006	1571711462.09	589.76
1007	1571711463.09	590.36
1008	1571711464.09	590.92
1009	1571711465.09	591.52
1010	1571711466.09	592.12
1011	1571711467.09	592.72
1012	1571711468.09	593.32
1013	1571711469.09	593.92
1014	1571711470.09	594.52
1015	1571711471.09	595.08
1016	1571711472.09	595.68
1017	1571711473.09	596.28
1018	1571711474.09	596.88
1019	1571711475.09	597.44
1020	1571711476.09	598.04
1021	1571711477.09	598.64
